"oldname","pretty","order","dummy","type","maindv","maindem","short","parent","display"
"v2x_egal_regavg","Egalitarian Dimension (Reg. Avg.)",80,0,"control",0,0,,"NA","NA"
"v2x_egaldem_regavg","Egalitarian Democracy (Reg. Avg.)",81,0,"control",0,0,,"NA","NA"
"v2xeg_eqprotec_regavg","Equal Protection (Reg. Avg.)",82,0,"control",0,0,,"NA","NA"
"v2xeg_eqaccess_regavg","Equal Access (Reg. Avg.)",83,0,"control",0,0,,"NA","NA"
"v2xeg_eqdr_regavg","Equal Distribution (Reg. Avg.)",84,0,"control",0,0,,"NA","NA"
"v2x_polyarchy_regavg","Electoral Democracy (Reg. Avg.)",85,0,"control",0,0,,"NA","NA"
"v2x_edcomp_thick_regavg","Electoral Dimension (Reg. Avg.)",86,0,"control",0,0,,"NA","NA"
"v2x_freexp_altinf_regavg","Freedom of Expression (Reg. Avg.)",87,0,"control",0,0,,"NA","NA"
"v2x_frassoc_thick_regavg","Freedom of Association (Reg. Avg.)",88,0,"control",0,0,,"NA","NA"
"v2x_suffr_regavg","Suffrage (Reg. Avg.)",89,0,"control",0,0,,"NA","NA"
"v2xel_frefair_regavg","Clean Elections (Reg. Avg.)",90,0,"control",0,0,,"NA","NA"
"v2x_elecoff_regavg","Elected Executive (Reg. Avg.)",91,0,"control",0,0,,"NA","NA"
"v2x_liberal_regavg","Liberal Dimension (Reg. Avg.)",92,0,"control",0,0,,"NA","NA"
"v2x_libdem_regavg","Liberal Democracy (Reg. Avg.)",93,0,"control",0,0,,"NA","NA"
"v2xcl_rol_regavg","Individual Liberty (Reg. Avg.)",94,0,"control",0,0,,"NA","NA"
"v2x_jucon_regavg","Judicial Constraints (Reg. Avg.)",95,0,"control",0,0,,"NA","NA"
"v2xlg_legcon_regavg","Legislative Constraints (Reg. Avg.)",96,0,"control",0,0,,"NA","NA"
"e_polity2_regavg","Polity2 (Reg. Avg.)",97,0,"control",0,0,,"NA","NA"
"e_fh_ipolity2_regavg","Freedom House and Polity2 (Reg. Avg.)",98,0,"control",0,0,,"NA","NA"
"ss_spend_regavg","Social Spending (Reg. Avg.)",99,0,"control",0,0,,"NA","NA"
"eduhealth_spend_regavg","Education and Health Sp (Reg. Avg.)",100,0,"control",0,0,,"NA","NA"
"welfins_spend_regavg","Welfare Spending (Reg. Avg.)",101,0,"control",0,0,,"NA","NA"
"progtaxes_regavg","Progressive Taxation (Reg. Avg.)",102,0,"control",0,0,,"NA","NA"
"logustrade","US Trade Volume (log)",103,0,"control",0,0,,"NA","NA"
"logchinatrade","China Trade Volume (log)",104,0,"control",0,0,,"NA","NA"
"logeutrade","EU Trade Volume (log)",105,0,"control",0,0,,"NA","NA"
"logrussiatrade","Russia Trade Volume (log)",106,0,"control",0,0,,"NA","NA"
"ustradepct","US Trade Pct",107,0,"control",0,0,,"NA","NA"
"chinatradepct","China Trade Pct",108,0,"control",0,0,,"NA","NA"
"eutradepct","EU Trade Pct",109,0,"control",0,0,,"NA","NA"
"russiatradepct","Russia Trade Pct",110,0,"control",0,0,,"NA","NA"
"log_total_igo_links","Total IGO Links (log)",111,0,"control",0,0,,"NA","NA"
"fran_colony","French Colony",112,1,"control",0,0,,"NA","NA"
"brit_colony","British Colony",113,1,"control",0,0,,"NA","NA"
"Spain_colony","Spanish Colony",114,1,"control",0,0,,"NA","NA"
"Portugal_colony","Portuguese Colony",115,1,"control",0,0,,"NA","NA"
